model,layer,d_model,norm_w0,norm_w1,norm_diff,norm_w1_over_init,norm_sum,init_over_w1,cos_w1_diff,cos_w0_w1,frac_w1_along_diff,bias_diff
qwen3,50,5120,4.426539897918701,4.420746803283691,8.809518814086914,7.656958070685051,0.8166435956954956,0.09236489236354828,0.9957255125045776,-0.9829607009887695,0.9914693832397461,-0.023514503613114357
qwen3,51,5120,4.394299030303955,4.388310432434082,8.744561195373535,7.600776628360381,0.8166438341140747,0.09304763376712799,0.995661735534668,-0.9827086329460144,0.9913422465324402,-0.020349284633994102
qwen3,52,5120,4.898225784301758,4.889657974243164,9.753761291503906,8.469136043023473,0.8166438341140747,0.08350725471973419,0.9965075254440308,-0.9860790371894836,0.9930270910263062,-0.019778145477175713
qwen3,53,5120,5.745957374572754,5.73799467086792,11.45488166809082,9.938498303502696,0.8166438341140747,0.07116108387708664,0.9974652528762817,-0.9898873567581177,0.9949368238449097,-0.02100272662937641
qwen3,54,5120,6.350176811218262,6.348141670227051,12.672032356262207,10.995303906478405,0.8166440725326538,0.06432150304317474,0.9979292750358582,-0.9917283058166504,0.9958629012107849,-0.020261012017726898
qwen3,55,5120,6.905394554138184,6.9049859046936035,13.786212921142578,11.959786412476271,0.816644012928009,0.05913437157869339,0.9982499480247498,-0.9930065274238586,0.9965032339096069,-0.020122896879911423
qwen3,56,5120,8.217310905456543,8.21923828125,16.416250228881836,14.236138302640095,0.8166435360908508,0.04967878386378288,0.998765230178833,-0.9950628280639648,0.9975317120552063,-0.01975387893617153
qwen3,57,5120,10.668017387390137,10.665899276733398,21.318281173706055,18.47387945571439,0.8166437745094299,0.038282930850982666,0.9992669224739075,-0.9970693588256836,0.9985341429710388,-0.01924089528620243
qwen3,58,5120,12.71372127532959,12.711275100708008,25.41187286376953,22.016574303411467,0.8166440725326538,0.03212282434105873,0.9994842410087585,-0.9979366660118103,0.9989691376686096,-0.018589988350868225
qwen3,59,5120,15.65625286102295,15.655595779418945,31.301198959350586,27.116287312714494,0.8166436553001404,0.026081526651978493,0.9996598958969116,-0.9986395835876465,0.9993196725845337,-0.018400929868221283
qwen3,60,5120,19.64681625366211,19.6487979888916,39.28712463378906,34.03271642441743,0.816644012928009,0.0207810178399086,0.9997841119766235,-0.9991362690925598,0.9995681047439575,-0.01769225299358368
qwen3,61,5120,23.93311882019043,23.935022354125977,47.861175537109375,41.45667479764303,0.8166442513465881,0.017059609293937683,0.9998545050621033,-0.9994180202484131,0.9997089505195618,-0.015461219474673271
qwen3,62,5120,29.216880798339844,29.215988159179688,58.427162170410156,50.60357588502994,0.8166435956954956,0.013975970447063446,0.9999023079872131,-0.9996093511581421,0.999804675579071,-0.009962154552340508
qwen3,63,5120,44.04566955566406,44.046016693115234,88.08790588378906,76.28993878350249,0.8166441321372986,0.009270351380109787,0.9999570250511169,-0.9998281598091125,0.9999142289161682,-0.0030891504138708115
qwq,0,5120,0.6642243266105652,0.6721470355987549,1.0578486919403076,1.1641928158138504,0.8166438341140747,0.6074889898300171,0.7943629622459412,-0.25318068265914917,0.6310124397277832,-0.4030771255493164
qwq,1,5120,1.3085803985595703,1.296112298965454,2.473392963409424,2.244932354123069,0.8166438341140747,0.3150359094142914,0.949093222618103,-0.8034418225288391,0.9007781147956848,-0.0054323989897966385
qwq,2,5120,1.3096529245376587,1.301482915878296,2.480159044265747,2.2542345354840996,0.8166438341140747,0.3137359023094177,0.949516236782074,-0.8043872117996216,0.9015811085700989,-0.008595691062510014
qwq,3,5120,1.2629737854003906,1.2576122283935547,2.3846330642700195,2.178248275797552,0.8166438341140747,0.32468029856681824,0.945826530456543,-0.7900693416595459,0.894587516784668,-0.00939987413585186
