model,family,framing,arm,signed_alpha,flip_class,n,behaviour,metric,delta_density,ci_lo,ci_hi
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,uncertainty-estimation,density,-0.1433079391529112,-0.9777952961437141,0.6911794178378916
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,uncertainty-estimation,density_nontest,-0.07603951018235458,-0.7959771143255323,0.6438980939608231
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,uncertainty-estimation,density_testlex,-0.06726842897055663,-0.2727272727272727,0.07092198581560284
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,backtracking,density,-0.06860148716159083,-0.37058012673241936,0.2333771524092377
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,backtracking,density_nontest,-0.06860148716159083,-0.37058012673241936,0.2333771524092377
deepseek_qwen,actions,fake,alpha0.25,-0.25,gained,5,backtracking,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,initializing,density,0.07733702402738946,-0.12800967216443526,0.2569533964429145
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,initializing,density_nontest,0.07733702402738946,-0.12800967216443526,0.2569533964429145
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,deduction,density,-0.41603871029728823,-0.8100399382746027,-0.04266322653310459
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,deduction,density_nontest,-0.4265118260972805,-0.8259728556902648,-0.04025089535274539
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,deduction,density_testlex,0.010473115799992314,-0.07062146892655367,0.10204081632653061
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,adding-knowledge,density,0.26156251388205076,-0.08272908183558851,0.6356673836016581
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,adding-knowledge,density_nontest,0.27878014473604523,-0.07173862293369249,0.6545582745870702
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,adding-knowledge,density_testlex,-0.01721763085399449,-0.05165289256198347,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,example-testing,density,0.1090999402985509,-0.08781825981154717,0.29425872713601736
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,example-testing,density_nontest,0.04997207629263811,-0.13363250143058092,0.23496934951009343
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,example-testing,density_testlex,0.05912786400591278,0.0,0.14350825326435082
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,uncertainty-estimation,density,0.5002033223127899,0.06009721588571823,0.9759294060631798
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,uncertainty-estimation,density_nontest,0.5232235801396775,0.0780430568972024,0.9916650910603921
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,uncertainty-estimation,density_testlex,-0.02302025782688766,-0.06906077348066299,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,backtracking,density,-0.12928001109813844,-0.22209631761852935,-0.04654387076681895
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,backtracking,density_nontest,-0.12928001109813844,-0.22209631761852935,-0.04654387076681895
deepseek_qwen,actions,fake,alpha0.25,-0.25,lost,12,backtracking,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,initializing,density,-0.015548360127968557,-0.1419875441603911,0.11752230094520683
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,initializing,density_nontest,-0.015548360127968557,-0.1419875441603911,0.11752230094520683
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,initializing,density_testlex,0.0,0.0,0.0
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,deduction,density,0.09641099778555512,-0.7670933008111535,0.8574470498886796
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,deduction,density_nontest,0.0867154383517758,-0.7689251087542538,0.8478443865079247
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,deduction,density_testlex,0.00969555943377933,0.0,0.029086678301337987
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,adding-knowledge,density,-0.4880751210423226,-1.1396177127804266,0.13131498952643247
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,adding-knowledge,density_nontest,-0.49757444694789854,-1.1334364294314527,0.08771717511747308
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,adding-knowledge,density_testlex,0.009499325905575904,-0.032552083333333336,0.06105006105006104
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,example-testing,density,0.2563160998539489,-0.05321979032287721,0.5985759053429465
deepseek_qwen,actions,fake,alpha0.25,-0.25,comply_both,18,example-testing,density_nontest,0.2563160998539489,-0.05321979032287721,0.5985759053429465
