model,family,framing,arm,signed_alpha,n,metric,behaviour,mean,ci_lo,ci_hi
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,any,backtracking,0.25675675675675674,0.1891891891891892,0.3310810810810811
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,words,,249.0810810810811,236.82263513513513,261.5136824324324
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,n_spans_counted,,17.81081081081081,17.013344594594592,18.60810810810811
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,repetition_4gram,,0.0034349408493748526,0.002586875685116452,0.004341558338693699
deepseek_qwen,actions,real,alpha0.05_aware,0.05,148,executed,,0.16891891891891891,0.10810810810810811,0.22972972972972974
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,initializing,0.575524416728259,0.531398411531873,0.6187203158522746
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,deduction,3.8922298706302496,3.747154547602773,4.032298861696062
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,adding-knowledge,1.6267075185363291,1.5219250867878489,1.727173001610807
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,example-testing,0.09825760079774902,0.0641414829079731,0.13406643223853804
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,uncertainty-estimation,0.8367192513652976,0.7515547205377968,0.9260147205809323
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,density,backtracking,0.1746498547543979,0.13613529802460647,0.21587364826384997
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,initializing,0.12347295197304263,0.11711844644485854,0.13002691477913855
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,deduction,0.5010000661622838,0.48331327533767965,0.5187957335279483
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,adding-knowledge,0.24006783700655415,0.22326239333574263,0.256133391280205
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,example-testing,0.016506868305651533,0.010729261681602952,0.022826443888218563
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,uncertainty-estimation,0.09539396908015546,0.0850499574574388,0.10593913270608317
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,coverage,backtracking,0.023558307472312436,0.017997368295026718,0.029411956379040035
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,example-testing,0.20270270270270271,0.13513513513513514,0.2702702702702703
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,uncertainty-estimation,0.8851351351351351,0.831081081081081,0.9324324324324325
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,any,backtracking,0.3918918918918919,0.3108108108108108,0.46621621621621623
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,words,,267.86486486486484,254.8016891891892,281.12905405405405
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,n_spans_counted,,19.04054054054054,18.18902027027027,19.912331081081078
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,repetition_4gram,,0.004702563987345341,0.003701900858561526,0.005758434247313488
deepseek_qwen,actions,real,alpha0.07_aware,0.07,148,executed,,0.27702702702702703,0.20945945945945946,0.35135135135135137
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,initializing,0.603489945992429,0.5567779349366042,0.6555009980434444
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,deduction,4.13432344593747,4.0106916734739295,4.252775288454068
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,adding-knowledge,1.6448047099334537,1.5566467031523172,1.734154044244105
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,example-testing,0.08345317227012383,0.05157198023848284,0.11824616055445886
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,uncertainty-estimation,0.6321064778105042,0.5646144782099443,0.7081929633007968
deepseek_qwen,actions,real,alpha0.25,-0.25,149,density,backtracking,0.10273230034938573,0.07305269675918384,0.1328180469172302
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,initializing,0.12742896579769697,0.12027466207470776,0.13496586250696485
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,deduction,0.5351555025895339,0.5195521516955094,0.5510792373639791
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,adding-knowledge,0.24225478966817135,0.23002770794732696,0.2547176260704418
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,example-testing,0.012642200804523692,0.007310428173116025,0.018599617088769123
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,uncertainty-estimation,0.06868969795473376,0.060427559886502044,0.07767029540544763
deepseek_qwen,actions,real,alpha0.25,-0.25,149,coverage,backtracking,0.013828843185340198,0.009537674436494937,0.018132700157477095
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,initializing,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,deduction,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,adding-knowledge,1.0,1.0,1.0
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,example-testing,0.15436241610738255,0.10067114093959731,0.21476510067114093
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,uncertainty-estimation,0.8120805369127517,0.7516778523489933,0.87248322147651
deepseek_qwen,actions,real,alpha0.25,-0.25,149,any,backtracking,0.24161073825503357,0.174496644295302,0.3087248322147651
deepseek_qwen,actions,real,alpha0.25,-0.25,149,words,,241.74496644295303,232.90453020134228,250.84614093959732
deepseek_qwen,actions,real,alpha0.25,-0.25,149,n_spans_counted,,17.261744966442954,16.677852348993287,17.899328859060404
deepseek_qwen,actions,real,alpha0.25,-0.25,149,repetition_4gram,,0.003773063161635622,0.002861835582636087,0.00475388784093125
deepseek_qwen,actions,real,alpha0.25,-0.25,149,executed,,0.12080536912751678,0.0738255033557047,0.174496644295302
deepseek_qwen,actions,real,alpha0.3,-0.3,149,density,initializing,0.639016227344584,0.5781502866471089,0.7015772738063927
deepseek_qwen,actions,real,alpha0.3,-0.3,149,density,deduction,4.197936572400688,4.064996272394969,4.331622632310196
